Nome;Rodada;Custo;Tempo
pr136;4;96772;19.978
pr136;5;96772;19.956
pr136;6;96772;17.925
pr136;7;96772;20.157
pr136;8;96772;21.742
pr136;9;96772;22.015
pr136;10;96772;20.874
pr144;1;58537;16.200
pr144;2;58537;16.543
pr144;3;58537;16.472
pr144;4;58537;16.517
pr144;5;58537;16.250
pr144;6;58537;17.058
pr144;7;58537;17.003
pr144;8;58537;17.375
pr144;9;58537;16.163
pr144;10;58537;16.641
pr152;1;73682;13.346
pr152;2;73682;14.583
pr152;3;73682;13.790
pr152;4;73682;13.727
pr152;5;73682;14.016
pr152;6;73682;12.584
pr152;7;73682;13.259
pr152;8;73682;12.761
pr152;9;73682;12.637
pr152;10;73682;13.502
pr226;1;80369;71.862
pr226;2;80369;73.253
pr226;3;80369;70.677
pr226;4;80369;72.543
pr226;5;80369;76.133
pr226;6;80369;75.106
pr226;7;80369;75.264
pr226;8;80369;78.658
pr226;9;80369;93.132
pr226;10;80369;77.630
pr264;1;49135;110.865
pr264;2;49135;105.966
pr264;3;49135;110.953
pr264;4;49135;106.810
pr264;5;49135;110.359
pr264;6;49135;109.080
pr264;7;49135;112.978
pr264;8;49135;103.589
pr264;9;49135;104.861
pr264;10;49135;100.772
pr299;1;48191;204.436
pr299;2;48191;202.974
pr299;3;48191;200.256
pr299;4;48191;202.978
pr299;5;48191;188.451
pr299;6;48191;199.036
pr299;7;48191;206.415
pr299;8;48191;223.406
pr299;9;48191;194.167
pr299;10;48191;194.612
pr76;1;108159;2.124
pr76;2;108159;2.039
pr76;3;108159;2.044
pr76;4;108159;2.001
pr76;5;108159;1.933
pr76;6;108159;1.919
pr76;7;108159;2.030
pr76;8;108159;1.945
pr76;9;108159;1.897
pr76;10;108159;1.938
rat195;1;2323;41.999
rat195;2;2323;43.043
rat195;3;2328;44.711
rat195;4;2323;45.142
rat195;5;2323;46.416
rat195;6;2323;43.142
rat195;7;2323;45.926
rat195;8;2324;45.672
rat195;9;2323;45.533
rat195;10;2328;48.704
rat99;1;1211;5.613
rat99;2;1211;5.980
rat99;3;1211;5.585
rat99;4;1211;5.784
rat99;5;1211;5.511
rat99;6;1211;5.741
rat99;7;1211;5.944
rat99;8;1211;5.937
rat99;9;1211;5.831
rat99;10;1211;5.443
rd100;1;7910;5.207
rd100;2;7910;5.495
rd100;3;7910;6.046
rd100;4;7910;5.872
rd100;5;7910;5.654
rd100;6;7910;5.680
rd100;7;7910;5.545
rd100;8;7910;6.097
rd100;9;7910;6.368
rd100;10;7910;6.356
rd400;1;15303;943.349
rd400;2;15322;841.577
rd400;3;15296;811.459
rd400;4;15323;813.704
rd400;5;15295;938.025
rd400;6;15286;907.216
rd400;7;15291;860.846
rd400;8;15305;916.160
rd400;9;15308;885.754
rd400;10;15334;914.313
si175;1;1045;19.159
si175;2;1100;19.030
si175;3;1143;18.483
si175;4;1143;17.489
si175;5;1178;19.604
si175;6;1108;19.272
si175;7;1037;19.168
si175;8;1091;18.765
si175;9;1126;18.434
si175;10;1161;17.875
si535;1;2786;1111.687
si535;2;2634;1123.221
si535;3;2701;1213.340
si535;4;2710;1201.316
si535;5;2712;1134.579
si535;6;2718;1108.049
si535;7;2759;1187.691
si535;8;2651;1058.082
si535;9;2714;1134.010
si535;10;2724;1179.342
st70;1;675;1.534
st70;2;675;1.516
st70;3;675;1.524
st70;4;675;1.642
st70;5;675;1.498
st70;6;675;1.515
st70;7;675;1.671
st70;8;675;1.503
st70;9;675;1.492
st70;10;675;1.498
swiss42;1;1273;0.222
swiss42;2;1273;0.224
swiss42;3;1273;0.225
swiss42;4;1273;0.230
swiss42;5;1273;0.260
swiss42;6;1273;0.213
swiss42;7;1273;0.238
swiss42;8;1273;0.222
swiss42;9;1273;0.227
swiss42;10;1273;0.221
ts225;1;126643;47.050
ts225;2;126643;48.432
ts225;3;126643;46.290
ts225;4;126643;44.726
ts225;5;126643;48.630
ts225;6;126643;45.292
ts225;7;126643;48.036
ts225;8;126643;44.949
ts225;9;126643;46.371
ts225;10;126643;47.367
tsp225;1;3916;76.898
tsp225;2;3916;72.283
tsp225;3;3916;77.617
tsp225;4;3916;73.629
tsp225;5;3916;74.436
tsp225;6;3916;73.448
tsp225;7;3916;73.584
tsp225;8;3916;78.987
tsp225;9;3916;74.183
tsp225;10;3916;78.484
u159;1;42080;14.404
u159;2;42080;15.270
u159;3;42080;15.354
u159;4;42080;15.960
u159;5;42080;15.914
u159;6;42080;17.144
u159;7;42080;15.429
u159;8;42080;16.051
u159;9;42080;14.789
u159;10;42080;16.060
ulysses16;1;6859;0.014
ulysses16;2;6859;0.014
ulysses16;3;6859;0.015
ulysses16;4;6859;0.015
ulysses16;5;6859;0.015
ulysses16;6;6859;0.012
ulysses16;7;6859;0.012
ulysses16;8;6859;0.011
ulysses16;9;6859;0.015
ulysses16;10;6859;0.014
ulysses22;1;7013;0.031
ulysses22;2;7013;0.031
ulysses22;3;7013;0.030
ulysses22;4;7013;0.028
ulysses22;5;7013;0.028
ulysses22;6;7013;0.029
ulysses22;7;7013;0.032
ulysses22;8;7013;0.028
ulysses22;9;7013;0.028
ulysses22;10;7013;0.027
